293#77	"If we're going to look for these stealth black holes at the center of galaxies, the best place to look is in our own galaxy, our Milky Way.
And this is a wide field picture taken of the center of the Milky Way.
And what we see is a line of stars."	And that is because we live in a galaxy which has a flattened, disk-like structure.	1
1171#19	"In the US, these devices come under the FDA's jurisdiction as a tobacco product.
But the science on these devices has not been able to keep up with the rapid market growth, so regulations on the components of these devices and e-liquids are lagging.
Current regulations do restrict sales of these devices to anyone under the age of 18, but these do not seem to have had much of an impact on the explosion in the use of these devices by teens."	You know, the first time I heard of and saw an e-cigarette, I knew right away that teens would love it.	1
1466#46	"So an interesting idea is, what if you could take any material you wanted, or any element on the periodic table, and find its corresponding DNA sequence, then code it for a corresponding protein sequence to build a structure, but not build an abalone shell -- build something that nature has never had the opportunity to work with yet.
And so here's the periodic table.
I absolutely love the periodic table."	"""Every year for the incoming freshman class at MIT, I have a periodic table made that says, """"Welcome to MIT."""	1
1691#22	"What I was trying to do with tuning these hormones and neurotransmitters and so forth was to try to get my intelligence back after my illness and surgery, my creative thought, my idea flow.
And I think mostly in images, and so for me that became a key metric -- how to get these mental images that I use as a way of rapid prototyping, if you will, my ideas, trying on different new ideas for size, playing out scenarios.
This kind of thinking isn't new."	Philiosophers like Hume and Descartes and Hobbes saw things similarly.	1
522#46	"That's where their consumers come from.
And we have to get our messaging in there.
So the essentials are, we've got to have interaction in those areas, with the terrorists, the facilitators, etc."	We've got to engage, we've got to educate, and we've got to have dialogue.	1
1361#157	"The Health Impact Fund is beneficial for all parties.
It benefits innovators by giving them a new market, and most importantly, by overcoming their public relations problems that we started with.
It benefits patients, because patients are much more likely to get the right medicine, and also for these medicines to be developed, the medicines that we most need."	And it also benefits governments or taxpayers, if you like, because it creates a permanent source of pharmaceutical innovation that will be here for all future times.	1
1401#55	"For a long time, I wanted to create a space for contemplation and poetry.
And in 2019, I was given the opportunity to do just that by the Trust of Governor's Island.
They provided me with the perfect canvas in the form of a former military chapel."	"""Meet """"The May Room."""""""	1
1840#25	"FG: Well, I've always just ...
I've never really gone out looking for work.
I always waited for it to sort of hit me on the head."	And when I started out, I thought that architecture was a service business and that you had to please the clients and stuff.	1
565#83	"And you can follow these channels and you can see how they all converge.
And they converge into this channel here, which drains into this region.
You are looking at a shoreline."	Was this a shoreline of fluids?	1
946#216	"What role have rich, powerful countries like the United States played in making it hard or impossible for immigrants to stay in their home countries?
Picking up and moving from your country is difficult and dangerous, but many immigrants simply do not have the option of staying home if they want to survive.
Wars, trade agreements and consumer habits rooted in the Global North play a major and devastating role here."	What responsibilities do the United States, the European Union and China -- the world's leading carbon emitters -- have to the millions of people already uprooted by global warming?	1
2079#76	"So, how many years they lived.
And then we take these top factors that I showed you, and we calculate their relative age, their biological age.
And what you see is that there is a pretty good correlation, so we can pretty well predict the relative age of a person."	But what's really exciting are the outliers, as they so often are in life.	1
1999#62	"And the social benefits: the rate of single-occupancy vehicles is, I told you, 75 percent; I think we can get that down to 50 percent.
The demand for parking, of course, is down, congestion and the CO2 emissions.
One last piece about this, of course, is that it's enabled by wireless technologies."	And it's the cost of driving that's making people want to be able to do this.	1
875#113	"And I find this one really extraordinary because the rete pattern is completely symmetrical, and it accurately maps a completely asymmetrical, or random sky.
How cool is that?
This is just amazing."	So, would little Lewis have an astrolabe?	1
381#197	"""You've got """"heartbreak.""""""
""You've got """"gig.""""""
""You've got """"cigarette."""""""	They play in a band and they smoke.	1
572#82	"Actually the critical point was in 1989, when we demonstrated the stability of this vehicle -- how completely stable it was in all circumstances, which is of course very critical.
Still not a practical vehicle during all of this, but moving in the right direction, we believe.
Finally, in the early part of -- or actually the middle of 2002, we flew the 400 -- M400, which was the four-passenger vehicle."	In this case here, we're flying it remotely, as we always did at the beginning.	1
1462#31	"So the next time you get dengue fever, if it's a different strain, you're more susceptible, you're likely to get worse symptoms, and you're more likely to get the more severe forms, hemorrhagic fever or shock syndrome.
So you don't want dengue once, and you certainly don't want it again.
So why is it spreading so fast?"	And the answer is this thing.	1
792#225	"They have big ideas and they can make big things happen.
I want to stay in the now with the young people, I don't want to get behind.
PM: I don't think there's any chance!"	But what you found out in the research about millennials is not really the experience that a lot of people have with millennials.	1
2180#35	"Maybe the human brain actually has the most neurons of any brain, regardless of its size, especially in the cerebral cortex.
So this to me became the important question to answer: how many neurons does the human brain have, and how does that compare to other animals?
Now, you may have heard or read somewhere that we have 100 billion neurons, so 10 years ago, I asked my colleagues if they knew where this number came from."	But nobody did.	1
1463#118	"It's got bumps on the back of its wing covers.
And those bumps act like a magnet for water.
They have water-loving tips, and waxy sides."	And the fog comes in and it builds up on the tips.	1
2188#313	"We go through a sort of generative mode, where we’re exploring many ideas; and then we come back together again, and come back looking for that solution, and developing that solution.
I think they’re two quite different modes: divergence and convergence.
And I think it’s probably in the divergent mode that we most need playfulness."	Perhaps in convergent mode we need to be more serious.	1
813#49	"But the key to Communist victory wasn't weapons or stamina, it was a dirt road.
The Ho Chi Minh Trail, winding through Vietnam, Laos, and Cambodia, started as a simple network of dirt roads and blossomed into the centerpiece of the winning North Vietnamese strategy during the Vietnam War, supplying weapons, troops, and psychological support to the South.
The trail was a network of tracks, dirt roads, and river crossings that threaded west out of North Vietnam and south along the Truong Son Mountain Range between Vietnam and Laos."	The journey to the South originally took six months.	1
1646#22	"These were the candidates in the recent Icelandic presidential election, and that's the way it goes.
So why on earth would you want to vote in another country's election?
Well, the reason that you wouldn't want to do it, let me reassure you, is in order to interfere in the democratic processes of another country."	That's not the purpose at all.	1
1980#81	"So this seems to be inevitable, right?
This kind of failure mode seems to be inevitable, and it follows from having a concrete, definite objective.
So what happens if the machine is uncertain about the objective?"	Well, it reasons in a different way.	1
1590#260	"This is the disease, Konzo, I spent 20 years elucidating in Africa.
It's caused by fast processing of toxic cassava root in famine situation.
It's similar to the pellagra epidemic in Mississippi in the '30s."	It's similar to other nutritional diseases.	1
1348#380	"AM: You know, I live this every day now.
I walk down the streets as a woman, and I really am at peace with who I am.
I mean, I wish I had a softer voice maybe, but now I walk in love and I try to live that way every day."	DI: Now I walk in love.	1
533#51	"Finally, in part three, I'm going to describe a cosmological theory called inflation, which will pull all the pieces of the story together.
Okay, part one starts back in 1929 when the great astronomer Edwin Hubble realized that the distant galaxies were all rushing away from us, establishing that space itself is stretching, it's expanding.
Now this was revolutionary."	The prevailing wisdom was that on the largest of scales the universe was static.	1
73#135	"You know, Orion facing the roaring bull.
Perseus flying to the rescue of Andromeda.
Zeus battling Chronos for control of Mount Olympus."	I mean, these are the great tales of the Greeks.	1
1271#288	"Why does it happen, and what can we do about it if it does turn out to be related to the disease process?
So, one of the changes that we study is an increase in the density of a particular sugar that's called sialic acid.
And I think this is going to be one of the most important sugars of our times, so I would encourage everybody to get familiar with this word."	Sialic acid is not the kind of sugar that we eat.	1
918#98	"These include, of course, climate.
It may surprise you that it's not only climate.
But it shows that we are interconnected, among many systems on the planet, with the three big systems, climate change, stratospheric ozone depletion and ocean acidification being the three big systems, where the scientific evidence of large-scale thresholds in the paleo-record of the history of the planet."	But we also include, what we call, the slow variables, the systems that, under the hood, regulate and buffer the capacity of the resilience of the planet -- the interference of the big nitrogen and phosphorus cycles on the planet, land use change, rate of biodiversity loss, freshwater use, functions which regulate biomass on the planet, carbon sequestration, diversity.	1
1207#34	"When it's the right kind of violence, we love it.
And there's another complication, which is, in addition to us being this miserably violent species, we're also this extraordinarily altruistic, compassionate one.
So how do you make sense of the biology of our best behaviors, our worst ones and all of those ambiguously in between?"	Now, for starters, what's totally boring is understanding the motoric aspects of the behavior.	1
1989#582	"This is actually just a microorganism.
But it has roughly 500 genes.
Haemophilus had 1,800 genes."	And we simply asked the question, if one species needs 800, another 500, is there a smaller set of genes that might comprise a minimal operating system?	1
58#34	"RL: Yeah, sure.
So the things that he's disclosed, the capabilities, and the NSA is a capabilities-based organization, so when we have foreign intelligence targets, legitimate things of interest -- like, terrorists is the iconic example, but it includes things like human traffickers, drug traffickers, people who are trying to build advanced weaponry, nuclear weapons, and build delivery systems for those, and nation-states who might be executing aggression against their immediate neighbors, which you may have some visibility into some of that that's going on right now, the capabilities are applied in very discrete and measured and controlled ways.
""So the unconstrained disclosure of those capabilities means that as adversaries see them and recognize, """"Hey, I might be vulnerable to this,"""" they move away from that, and we have seen targets in terrorism, in the nation-state area, in smugglers of various types, and other folks who have, because of the disclosures, moved away from our ability to have insight into what they're doing."""	The net effect of that is that our people who are overseas in dangerous places, whether they're diplomats or military, and our allies who are in similar situations, are at greater risk because we don't see the threats that are coming their way.	1
223#115	"Things aren't going so well.
People come to the table, and even these very blunt, staged social interactions, and they, and there's just numbers going back and forth between the people, and they bring enormous sensitivities to it.
So we realized we could exploit this, and in fact, as we've done that, and we've done this now in many thousands of people, I think on the order of five or six thousand."	We actually, to make this a biological probe, need bigger numbers than that, remarkably so.	1
